Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
80 m²,,"12,5 tỷ",4 tầng,5 phòng,5 phòng,Đang chờ sổ,,Đông,Đông,12 m,16/11/2023,01/12/2023,Tin thường,"Đường Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh"
80 m²,4 m,"9,8 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,16/11/2023,26/11/2023,Tin thường,"Đường Số 7, Phường 11, Quận 6, Hồ Chí Minh"
84 m²,4 m,"11,5 tỷ",4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,16/11/2023,26/11/2023,Tin thường,"Đường Bình Phú 1, Phường 11, Quận 6, Hồ Chí Minh"
"87,5 m²",,30 tỷ,5 tầng,9 phòng,,Sổ hồng,,,,,17/11/2023,27/11/2023,Tin thường,"15, Đường 23, Phường 10, Quận 6, Hồ Chí Minh"
90 m²,,"9,6 tỷ",4 tầng,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,,16/11/2023,26/11/2023,Tin thường,"Đường An Dương Vương, Phường 14, Quận 6, Hồ Chí Minh"
100 m²,5 m,"3,99 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,53 m,27/10/2023,26/11/2023,Tin thường,"Dự án DIC Victory City, Phường 4, Vị Thanh, Hậu Giang"
68 m²,,31 tỷ,,,,,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Hậu Giang, Phường 6, Quận 6, Hồ Chí Minh"
64 m²,,"5,7 tỷ",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,26/10/2023,25/11/2023,Tin thường,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh"
80 m²,4 m,"12,5 tỷ",5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,09/11/2023,24/11/2023,Tin thường,"Đường Trần Văn Kiểu, Phường 10, Quận 6, Hồ Chí Minh"
79 m²,4 m,"13,5 tỷ",3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,15/11/2023,25/11/2023,Tin thường,"Đường 26, Phường 10, Quận 6, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
"1.080,5 m²",,105 tỷ,,,,,,,,,15/11/2023,25/11/2023,Tin thường,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh"
"48,9 m²","3,8 m","8,9 tỷ",2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,,16 m,15/11/2023,25/11/2023,Tin thường,"Đường Văn Thân, Phường 8, Quận 6, Hồ Chí Minh"
94 m²,4 m,"16,5 tỷ",4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Nam,,25 m,15/11/2023,25/11/2023,Tin thường,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh"
84 m²,"4,1 m","17,5 tỷ",5 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,15/11/2023,25/11/2023,Tin thường,"Đường Chợ Lớn, Phường 11, Quận 6, Hồ Chí Minh"
175 m²,"7,5 m","28,5 tỷ",2 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,32 m,15/11/2023,25/11/2023,Tin thường,"Đường Minh Phụng, Phường 5, Quận 6, Hồ Chí Minh"
1.444 m²,,270 tỷ,,,,,,,,,15/11/2023,25/11/2023,Tin thường,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh"
64 m²,,8 tỷ,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,15/11/2023,25/11/2023,Tin thường,"Đường Bình Phú 2, Phường 10, Quận 6, Hồ Chí Minh"
150 m²,7 m,"8,45 tỷ",1 tầng,3 phòng,3 phòng,Sổ hồng riêng,Tặng nội thất,,,8 m,15/11/2023,15/12/2023,Tin thường,"Đường Lò Gốm, Phường 7, Quận 6, Hồ Chí Minh"
80 m²,4 m,"7,5 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,15/11/2023,25/11/2023,Tin thường,"Đường Cư Xá Phú Lâm A, Phường 10, Quận 6, Hồ Chí Minh"
80 m²,4 m,"9,8 tỷ",5 tầng,,,,,,,,15/11/2023,25/11/2023,Tin thường,"Đường Bình Phú, Phường 11, Quận 6, Hồ Chí Minh"
90 m²,,12 tỷ,4 tầng,,,,,,,,15/11/2023,25/11/2023,Tin thường,"Đường Bình Phú, Phường 11, Quận 6, Hồ Chí Minh"
130 m²,5 m,26 tỷ,6 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam,14 m,15/11/2023,30/11/2023,Tin thường,"Đường Lê Tuấn Mậu, Phường 13, Quận 6, Hồ Chí Minh"
