Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
54 m²,,16 tỷ,7 tầng,9 phòng,10 phòng,,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh"
60 m²,3 m,"5,7 tỷ",1 tầng,1 phòng,1 phòng,Đã có sổ hồng.,Cơ bản.,Đông - Bắc,Đông - Bắc,16 m,07/11/2023,17/11/2023,Tin thường,"Đường Lê Văn Thọ, Phường 14, Gò Vấp, Hồ Chí Minh"
102 m²,,15 tỷ,,,,Sổ đỏ/ Sổ hồng.,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Thiên Hộ Dương, Phường 1, Gò Vấp, Hồ Chí Minh"
"221,7 m²",,48 tỷ,8 tầng,24 phòng,24 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,13/11/2023,23/11/2023,Tin thường,"258, Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh"
114 m²,6 m,"11,3 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Đông - Nam,Đông - Nam,8 m,12/11/2023,22/11/2023,Tin thường,"Đường Số 9, Phường 16, Gò Vấp, Hồ Chí Minh"
51 m²,,"6,8 tỷ",3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,27/11/2023,Tin thường,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh"
240 m²,20 m,Thỏa thuận,1 tầng,2 phòng,1 phòng,,,,,8 m,07/11/2023,17/11/2023,Tin thường,"Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
114 m²,6 m,"10,5 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,8 m,12/11/2023,22/11/2023,Tin thường,"Phường 16, Gò Vấp, Hồ Chí Minh"
"366,5 m²",,55 tỷ,3 tầng,,,,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Lê Quang Định, Phường 1, Gò Vấp, Hồ Chí Minh"
115 m²,,"12,5 tỷ",,,,,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Tân Sơn, Phường 12, Gò Vấp, Hồ Chí Minh"
"80,6 m²",,Thỏa thuận,2 tầng,2 phòng,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,07/11/2023,17/11/2023,Tin thường,"Đường Lương Ngọc Quyến, Phường 5, Gò Vấp, Hồ Chí Minh"
114 m²,6 m,"22,5 tỷ",3 tầng,,,Sổ hồng lâu dài.,,Đông - Bắc,,,07/11/2023,17/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
90 m²,,Thỏa thuận,,,,Sổ hồng.,,,,,07/11/2023,17/11/2023,Tin thường,"Dự án KDC An Sương, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh."
240 m²,8 m,40 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,06/11/2023,16/11/2023,Tin thường,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh"
64 m²,4 m,Thỏa thuận,2 tầng,3 phòng,4 phòng,Đã có sổ.,Nội thất đầy đủ.,,,8 m,07/11/2023,17/11/2023,Tin thường,"Đường Số 3, Phường 9, Gò Vấp, Hồ Chí Minh"
135 m²,5 m,15 tỷ,1 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,06/11/2023,16/11/2023,Tin thường,"Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh"
368 m²,,40 tỷ,,,,Sổ đỏ.,,,,,05/11/2023,15/11/2023,Tin thường,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh"
120 m²,,"14,2 tỷ",,5 phòng,,Sổ đỏ/ Sổ hồng.,,,,,06/11/2023,16/11/2023,Tin thường,"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh"
352 m²,11 m,35 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,06/11/2023,16/11/2023,Tin thường,"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh"
104 m²,,"14,5 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,06/11/2023,06/12/2023,Tin thường,"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh"
120 m²,"5,5 m","14,5 tỷ",6 tầng,11 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,06/11/2023,16/11/2023,Tin thường,"9, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh"
350 m²,"12,5 m",33 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,06/11/2023,16/11/2023,Tin thường,"Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh"
100 m²,,"15,5 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,05/11/2023,15/11/2023,Tin thường,"Đường Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh"
76 m²,"4,2 m","9,5 tỷ",4 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,06/11/2023,16/11/2023,Tin thường,"Số 59, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
42 m²,3 m,Thỏa thuận,2 tầng,3 phòng,2 phòng,Đã có sổ.,Nội thất đầy đủ.,,,8 m,06/11/2023,16/11/2023,Tin thường,"Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh."
