Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
49 m²,"3,7 m",Thỏa thuận,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,11/11/2023,21/11/2023,Tin thường,"Đường Phan Văn Khỏe, Phường 5, Quận 6, Hồ Chí Minh"
28 m²,6 m,"3,8 tỷ",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông,,6 m,10/11/2023,20/11/2023,Tin thường,"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh"
59 m²,,"6,6 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,10/11/2023,20/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
"38,5 m²","4,5 m","4,3 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,09/11/2023,19/11/2023,Tin thường,"952/2B, Đường Lò Gốm, Phường 8, Quận 6, Hồ Chí Minh"
"55,5 m²",,Thỏa thuận,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,10/11/2023,20/11/2023,Tin thường,"Đường Võ Văn Kiệt, Phường 1, Quận 6, Hồ Chí Minh"
15.000 m²,,22 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
68 m²,,Thỏa thuận,5 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,,,10/11/2023,20/11/2023,Tin thường,"Đường Cư Xá Phú Lâm D, Phường 10, Quận 6, Hồ Chí Minh"
160 m²,,20 tỷ,1 tầng,1 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,10/11/2023,10/12/2023,Tin thường,"Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh"
57 m²,4 m,"4,85 tỷ",2 tầng,2 phòng,2 phòng,Đã có sổ hồng,Hoàn thiện cơ bản,Tây,Tây,4 m,10/11/2023,20/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
75 m²,,Thỏa thuận,1 tầng,3 phòng,2 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường Bà Hom, Phường 14, Quận 6, Hồ Chí Minh"
150 m²,10 m,15 tỷ,3 tầng,4 phòng,4 phòng,Hợp đồng mua bán.,Nội thất đầy đủ.,Đông,Đông,12 m,17/11/2023,27/11/2023,Tin thường,"Dự án Sun Tropical Village, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang"
34 m²,4 m,"2,85 tỷ",2 tầng,2 phòng,2 phòng,Đã có sổ hồng.,,Bắc,Bắc,2 m,10/11/2023,20/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
35 m²,,5 tỷ,3 tầng,2 phòng,3 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
25 m²,4 m,"2,5 tỷ",2 tầng,2 phòng,2 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường An Dương Vương, Phường 13, Quận 6, Hồ Chí Minh"
70 m²,,Thỏa thuận,3 tầng,4 phòng,5 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường Bình Tiên, Phường 8, Quận 6, Hồ Chí Minh"
"52,5 m²",,Thỏa thuận,3 tầng,3 phòng,4 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường 12, Phường 11, Quận 6, Hồ Chí Minh"
61 m²,"4,7 m",Thỏa thuận,2 tầng,2 phòng,1 phòng,Sổ Hồng Riêng.,,Nam,,"2,5 m",10/11/2023,20/11/2023,Tin thường,"Hẻm 1/, Đường Văn Thân, Phường 8, Quận 6, Hồ Chí Minh."
70 m²,,6 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"3,5 m",09/11/2023,19/11/2023,Tin thường,"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh"
29 m²,,Thỏa thuận,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,09/11/2023,19/11/2023,Tin thường,"Đường Cư Xá Phú Lâm A, Phường 12, Quận 6, Hồ Chí Minh"
"65,5 m²",,Thỏa thuận,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,09/11/2023,19/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
35 m²,"3,8 m","3,9 tỷ",2 tầng,2 phòng,2 phòng,,,Bắc,,4 m,09/11/2023,19/11/2023,Tin thường,"Đường An Dương Vương, Phường 11, Quận 6, Hồ Chí Minh"
19 m²,,"2,4 tỷ",2 tầng,2 phòng,2 phòng,,Cơ bản,,Nam,6 m,09/11/2023,24/11/2023,Tin thường,"Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh"
"58,5 m²",10 m,"5,4 tỷ",2 tầng,3 phòng,3 phòng,Sổ hồng riêng hoàn công.,,Bắc,,2 m,09/11/2023,19/11/2023,Tin thường,"Đường Đặng Nguyên Cẩn, Phường 14, Quận 6, Hồ Chí Minh"
