Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
99 m²,"6,65 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,26/10/2023,05/11/2023,Tin thường,"Dự án Park Legend, Đường Hoàng Văn Thụ, Tân Bình, Hồ Chí Minh"
88 m²,"2,55 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,26/10/2023,05/11/2023,Tin thường,"Chung cư Phúc Yên, 31 - 33, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
59 m²,"3,45 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,,,26/10/2023,05/11/2023,Tin thường,"Sài Gòn Airport, Số 1, Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
81 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,02/10/2023,01/11/2023,Tin thường,"Chung cư Phúc Yên, số 33, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
125 m²,6 tỷ,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,23/10/2023,02/11/2023,Tin thường,"Dự án Sài Gòn Airport, Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
152 m²,"12,29 tỷ",2 phòng,,Hợp đồng mua bán,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Ixora Hồ Tràm , Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu"
95 m²,"4,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,23/10/2023,02/11/2023,Tin thường,"Dự án Sài Gòn Airport, Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
58 m²,"2,8 tỷ",,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
68 m²,"2,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,26/10/2023,05/11/2023,Tin thường,"Dự án Ruby Garden, Đường Nguyễn Sỹ Sách, Phường 15, Tân Bình, Hồ Chí Minh"
89 m²,"2,55 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,Tây - Nam,Đông - Bắc,04/10/2023,03/11/2023,Tin thường,"Chung cư Phúc Yên, 33, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
69 m²,"3,46 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,26/10/2023,05/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
100 m²,"3,8 tỷ",3 phòng,2 phòng,Có sổ,Tặng lại nội thất còn mới.,,,26/10/2023,05/11/2023,Tin thường,"Dự án Carillon Apartment, 171 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
65 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Bàu Cát II, Phường 10, Tân Bình, Hồ Chí Minh"
86 m²,"2,4 tỷ",2 phòng,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Chung cư Phúc Yên, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh."
65 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,Đông,25/10/2023,04/11/2023,Tin thường,"Dự án Carillon 3, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
73 m²,"2,36 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,25/10/2023,04/11/2023,Tin thường,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
67 m²,"3,3 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Central Plaza, 91 Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh"
84 m²,"4,7 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Sài Gòn Airport, số 1, Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
65 m²,"2,3 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Bàu Cát II, Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh"
72 m²,"5,6 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Đường Bàu Cát 7, Phường 14, Tân Bình, Hồ Chí Minh"
122 m²,"2,99 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,Nam,25/10/2023,04/11/2023,Tin thường,"Dự án Chung cư Phúc Yên, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
100 m²,"2,9 tỷ",3 phòng,2 phòng,,,,,22/10/2023,01/11/2023,Tin thường,"Chung cư Phúc Yên, 31, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
69 m²,"3,85 tỷ",2 phòng,2 phòng,,Đầy đủ,,,25/10/2023,04/11/2023,Tin thường,"Botanica Premier, 108, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
