Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
72 m²,Thỏa thuận,2 phòng,2 phòng,,,Đông - Nam,Đông,28/10/2023,07/11/2023,Tin thường,"Dự án Chung cư Khuông Việt, Đường Khuông Việt, Phường Phú Trung, Tân Phú, Hồ Chí Minh"
78 m²,"2,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án Oriental Plaza, Đường Âu Cơ, Tân Phú, Hồ Chí Minh"
64 m²,"1,7 tỷ",2 phòng,2 phòng,Sổ hồng,,Tây,,28/10/2023,07/11/2023,Tin thường,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
79 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ cao cấp,,,28/10/2023,07/11/2023,Tin thường,"Dự án Lotus Garden, Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
68 m²,"2,65 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Đông - Nam,Tây - Bắc,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
112 m²,"5,35 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,22/10/2023,01/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
104 m²,"4,9 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,,,22/10/2023,01/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
85 m²,"3,9 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
71 m²,"3,1 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,16/10/2023,Tin thường,29847288,"Celadon City, Số 2, Đường N4, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
92 m²,"4,5 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
69 m²,"2,5 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Tây - Nam,Đông - Bắc,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
117 m²,"6,4 tỷ",3 phòng,2 phòng,,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Diamond Centery Celadon City, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
78 m²,"2,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,23/10/2023,07/11/2023,Tin thường,"Fortuna - Vườn Lài, 306, Đường Vườn Lài, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh"
119 m²,"5,3 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
117 m²,"5,5 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
104 m²,"4,3 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N4, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
66 m²,"3,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,28/10/2023,07/11/2023,Tin thường,"Res Green Tower, số 7, Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
65 m²,"2,7 tỷ",2 phòng,2 phòng,,,,,28/10/2023,07/11/2023,Tin thường,"Dự án An Gia Garden, Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
82 m²,"3,2 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
65 m²,"2,75 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,19/10/2023,03/11/2023,Tin thường,"Carillon 7, 33, Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh"
65 m²,"2,8 tỷ",2 phòng,2 phòng,,,,,18/10/2023,17/11/2023,Tin thường,"RichStar, 278, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
