Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
85 m²,"5,55 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,Nam,Đông,25/10/2023,09/11/2023,Tin VIP Vàng,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
130 m²,7 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Bắc,16/10/2023,31/10/2023,Tin thường,"Satra Eximland, 163, Phố Phan Đăng Lưu, Phường 1, Phú Nhuận, Hồ Chí Minh"
75 m²,"4,7 tỷ",2 phòng,2 phòng,,,,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án Newton Residence, Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh"
75 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
80 m²,"3,59 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,26/10/2023,05/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
71 m²,"4,8 tỷ",2 phòng,2 phòng,,,,,19/10/2023,29/10/2023,Tin thường,"Kingston Residence, 146, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh."
100 m²,"5,45 tỷ",3 phòng,3 phòng,,,,,27/10/2023,06/11/2023,Tin thường,"Golden Mansion, 119, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
36 m²,"1,9 tỷ",,,,,,,24/10/2023,03/11/2023,Tin thường,"Orchard Garden, 128, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
30 m²,"1,75 tỷ",1 phòng,1 phòng,,,,,27/10/2023,06/11/2023,Tin thường,"Orchard Park View, 130 - 132, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
138 m²,8 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,17/10/2023,Tin thường,38339889,"PN-Techcons, số 48, Đường Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh"
115 m²,"4,9 tỷ",2 phòng,2 phòng,,,,,28/10/2023,07/11/2023,Tin thường,"Cao ốc Phú Nhuận, 20, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
75 m²,4 tỷ,2 phòng,2 phòng,,Full nội thất cao cấp.,,,25/10/2023,04/11/2023,Tin thường,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
26 m²,"1,6 tỷ",,,,,,,27/10/2023,06/11/2023,Tin thường,"Orchard Garden, 128, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
50 m²,"4,05 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh"
120 m²,"7,8 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,28/10/2023,07/11/2023,Tin thường,"Kingston Residence, 146, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
85 m²,"5,18 tỷ",3 phòng,2 phòng,,Đầy đủ nội thất,,,28/10/2023,07/11/2023,Tin thường,"Orchard Park View, 130, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
74 m²,"5,05 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ.,,,19/10/2023,29/10/2023,Tin thường,"Garden Gate, 8, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh."
120 m²,"8,1 tỷ",3 phòng,3 phòng,,,,Bắc,23/10/2023,02/11/2023,Tin thường,"Kingston Residence, 146, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
74 m²,"4,99 tỷ",2 phòng,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
80 m²,"4,7 tỷ",2 phòng,2 phòng,,,,,20/10/2023,30/10/2023,Tin thường,"Dự án Kingston Residence, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
85 m²,"6,2 tỷ",2 phòng,,,,,,24/10/2023,03/11/2023,Tin thường,"Orchard Park View, 130, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
75 m²,"4,6 tỷ",2 phòng,2 phòng,,Đầy đủ ( full ),,,24/10/2023,08/11/2023,Tin thường,"Dự án Kingston Residence, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
